Country Code|City|Location|Latitude|Longitude|Pollutant|Source Name|Unit|Value|Last Updated|Country Label
LT|Klaipeda|LT00031|55.7077779995006|21.141111|PM10|EEA Lithuania|µg/m³|22.37999916|2023-11-12T06:00:00+02:00|Lithuania
LT|Telšiai|LT00023|56.3097228995048|22.33139038|NO2|EEA Lithuania|µg/m³|5.16375009|2023-11-12T06:00:00+02:00|Lithuania
LT|Vilnius|LT00004|54.6733329994938|25.248903|NO2|EEA Lithuania|µg/m³|8.22375036|2023-11-12T04:00:00+02:00|Lithuania
LT|Klaipeda|LT00033|55.6899999995005|21.17946|PM2.5|EEA Lithuania|µg/m³|19.05999946|2023-11-12T06:00:00+02:00|Lithuania
LT|Kaunas|LT00043|55.2799999994977|23.95778|SO2|EEA Lithuania|µg/m³|2.12872003|2023-11-12T06:00:00+02:00|Lithuania
LT|Vilnius|LT00002|54.6861114494939|25.2108345|PM10|EEA Lithuania|µg/m³|19.88999938|2023-11-12T05:00:00+02:00|Lithuania
LT|Kaunas|LT00044|54.8836135894951|23.8358345|PM10|EEA Lithuania|µg/m³|32.25999832|2023-11-12T06:00:00+02:00|Lithuania
LT|Šiauliai|LT00022|55.937835689502194|23.30802727|NO2|EEA Lithuania|µg/m³|3.06000004|2023-11-12T06:00:00+02:00|Lithuania
LT|Kaunas|LT00042|55.0722219994964|24.283894|O3|EEA Lithuania|µg/m³|20.75527923|2023-11-12T06:00:00+02:00|Lithuania
LT|Kaunas|LT00043|55.2799999994977|23.95778|PM10|EEA Lithuania|µg/m³|21.37000083|2023-11-12T06:00:00+02:00|Lithuania
LT|Klaipeda|LT00033|55.6899999995005|21.17946|NO2|EEA Lithuania|µg/m³|10.70999981|2023-11-12T06:00:00+02:00|Lithuania
LT|Klaipeda|LT00033|55.6899999995005|21.17946|PM10|EEA Lithuania|µg/m³|22.04999923|2023-11-12T06:00:00+02:00|Lithuania
LT|Kaunas|LT00042|55.0722219994964|24.283894|PM10|EEA Lithuania|µg/m³|22.71999931|2023-11-12T06:00:00+02:00|Lithuania
LT|Kaunas|LT00043|55.2799999994977|23.95778|O3|EEA Lithuania|µg/m³|34.12647076|2023-11-12T06:00:00+02:00|Lithuania
LT|Vilnius|LT00001|54.67762499949381|25.285186|CO|EEA Lithuania|µg/m³|232.84|2023-11-12T05:00:00+02:00|Lithuania
LT|Kaunas|LT00041|54.89512799949521|23.986222|NO2|EEA Lithuania|µg/m³|4.01624981|2023-11-12T06:00:00+02:00|Lithuania
LT|Kaunas|LT00041|54.89512799949521|23.986222|PM2.5|EEA Lithuania|µg/m³|23.36000061|2023-11-12T06:00:00+02:00|Lithuania
LT|Vilnius|LT00003|54.7152786294941|25.289443969999997|PM10|EEA Lithuania|µg/m³|12.6999998|2023-11-12T05:00:00+02:00|Lithuania
LT|Kaunas|LT00042|55.0722219994964|24.283894|NO2|EEA Lithuania|µg/m³|2.86875|2023-11-12T06:00:00+02:00|Lithuania
LT|Telšiai|LT00053|56.0083351095027|21.886947629999998|SO2|EEA Lithuania|µg/m³|2.6609|2023-11-12T06:00:00+02:00|Lithuania
LT|Panevežys|LT00012|55.7249999995007|24.36557|CO|EEA Lithuania|µg/m³|232.84|2023-11-12T06:00:00+02:00|Lithuania
LT|Utena|LT00051|55.4633331294989|26.00416946|PM2.5|EEA Lithuania|µg/m³|2.56999993|2023-11-12T06:00:00+02:00|Lithuania
